x_est,y_est,th_est,x_gt,y_gt,th_gt,pos_err
3.568147,-1.701077,0.506754,3.437383,-1.631728,1.735339,0.148015
3.570128,-1.699978,0.506693,3.437023,-1.629557,1.735397,0.150586
3.572268,-1.698790,0.506623,3.436409,-1.625860,1.735293,0.154196
3.574134,-1.697755,0.506559,3.436212,-1.624671,1.735258,0.156089
3.575936,-1.696755,0.506496,3.435902,-1.622804,1.735201,0.158361
3.577675,-1.695790,0.506433,3.435528,-1.620549,1.735131,0.160832
3.579540,-1.694756,0.506363,3.435169,-1.618382,1.735060,0.163328
3.581341,-1.693757,0.506292,3.434721,-1.615678,1.734968,0.166114
3.582906,-1.692889,0.506229,3.434390,-1.613684,1.734898,0.168316
3.584082,-1.692237,0.506181,3.434230,-1.612717,1.734863,0.169644
3.585227,-1.691602,0.506132,3.434104,-1.611957,1.734835,0.170826
3.586839,-1.690706,0.508834,3.433679,-1.609387,1.734907,0.173410
3.588618,-1.689702,0.519097,3.433370,-1.607576,1.742110,0.175632
3.590410,-1.688670,0.525822,3.433108,-1.606000,1.749902,0.177702
3.592511,-1.687450,0.526168,3.432569,-1.603080,1.754430,0.180831
